;;;;;;;
324707;FRAM;0;60;;;;
868112F000;GEELY;0;60;;;;
KOS-203;GEELY;0;60;;;;
E010001301;GEELY;0;60;;;;
2451003270;GENERAL MOTORS;0;60;;;;
13011P04G02;GENERAL MOTORS;0;60;;;;
V91332;GENERAL MOTORS;0;60;;;;
amdrp63;GENERAL MOTORS;0;60;;;;
96169636;GENERAL MOTORS;0;60;;;;
96490031;GENERAL MOTORS;0;60;;;;
96306140;GENERAL MOTORS;0;60;;;;
6451437;GENERAL MOTORS;0;60;;;;
93189703;GENERAL MOTORS;0;60;;;;
55560446;GENERAL MOTORS;0;60;;;;
19033016;GENERAL MOTORS;0;60;;;;
GT80750;GENERAL MOTORS;0;60;;;;
TF698P8212240;GENERAL MOTORS;0;60;;;;
5650372;GENERAL MOTORS;0;60;;;;
5650372;GENERAL MOTORS;0;60;;;;
3089101;GENERAL MOTORS;0;60;;;;
9832025000;GENERAL MOTORS;0;60;;;;
95058438;GENERAL MOTORS;0;60;;;;
96304632;GENERAL MOTORS;0;60;;;;
5256260060;GENERAL MOTORS;0;60;;;;
9001713;GENERAL MOTORS;0;60;;;;
KH43033698;GENERAL MOTORS;0;60;;;;
13318012;GENERAL MOTORS;0;60;;;;
1603142;GENERAL MOTORS;0;60;;;;
96265125;GENERAL MOTORS;0;60;;;;
TF69Y0821206401;GENERAL MOTORS;0;60;;;;
PSCB006;GENERAL MOTORS;0;60;;;;
TF698P8212080;GENERAL MOTORS;0;60;;;;
96226350;GLASER;0;60;;;;
N1475STD;Glyco;0;60;;;;
3102655500;GOETZE;0;60;;;;
1706000K01;GREAT WALL;0;60;;;;
862009;GSP;0;60;;;;
2244126020;HEPU;0;60;;;;
2300004;HONDA;0;60;;;;
0K50F18840;HONDA;0;60;;;;
130724;Huco;0;60;;;;
;INA;0;60;;;;
KK14010;JP;0;60;;;;
334472;KAYABA;0;60;;;;
334473;KAYABA;0;60;;;;
333305;KAYABA;0;60;;;;
334840;KAYABA;0;60;;;;
333304;KAYABA;0;60;;;;
865543D010;KOS;0;60;;;;
BN8V-50-161B;KOYO;0;60;;;;
P7687;KS;0;60;;;;
E010000501;KS;0;60;;;;
1020302;Lemforder;0;60;;;;
7847;Lemforder;0;60;;;;
5043316;Lemforder;0;60;;;;
