;;;;;;;
13.0460-2815.2;ATE;0;;;;;
 13.0460-2923.2;ATE;0;;;;;
 13.0460-2975.2;ATE;0;;;;;
 13.0460-3805.2;ATE;0;;;;;
 13.0460-4047.2;ATE;0;;;;;
 13.0460-4201.2;ATE;0;;;;;
 13.0460-5963.2;ATE;0;;;;;
 13.0460-6910.2;ATE;0;;;;;
 13.0460-6911.2;ATE;0;;;;;
 13.0460-7041.2;ATE;0;;;;;
13.0460-7046.2;ATE;0;;;;;
 13.0460-7072.2;ATE;0;;;;;
 13.0460-7079.2;ATE;0;;;;;
13.0460-3959.2;ATE;0;;;;;
 13.0460-7101.2;ATE;0;;;;;
 13.0460-7050.2;ATE;0;;;;;
24.0120-0142.1;ATE;0;;;;;
F4-BE3-A054-H0;BILSTEIN;0;;;;;
F4-BE3-A055-H0;BILSTEIN;0;;;;;
F4-BE3-A056-H0;BILSTEIN;0;;;;;
F4-BE3-A057-H0;BILSTEIN;0;;;;;
F4-BE3-A058-H0;BILSTEIN;0;;;;;
F4-BNE-2920-BE;BILSTEIN;0;;;;;
F4-BNE-2944-BG;BILSTEIN;0;;;;;
539;BOSCH;0;;;;;
814S;BOSCH;0;;;;;
934S;BOSCH;0;;;;;
946S;BOSCH;0;;;;;
955S;BOSCH;0;;;;;
Ñïîéëåð  SP02;CHAMPION;0;;;;;
 2õT41B02;CHAMPION;0;;;;;
 A47R;CHAMPION;0;;;;;
 A48;CHAMPION;0;;;;;
 K60À;CHAMPION;0;;;;;
 KF53;CHAMPION;0;;;;;
 KF65;CHAMPION;0;;;;;
 KF70;CHAMPION;0;;;;;
 R32;CHAMPION;0;;;;;
 R33;CHAMPION;0;;;;;
 R38;CHAMPION;0;;;;;
 R40;CHAMPION;0;;;;;
 R41;CHAMPION;0;;;;;
 R50;CHAMPION;0;;;;;
 SF48A;CHAMPION;0;;;;;
 SF53A;CHAMPION;0;;;;;
 SF53B;CHAMPION;0;;;;;
 SF65A;CHAMPION;0;;;;;
 SK55;CHAMPION;0;;;;;
 SK55M;CHAMPION;0;;;;;
 SX53;CHAMPION;0;;;;;
 SX55;CHAMPION;0;;;;;
 SX60 Spoiler;CHAMPION;0;;;;;
 SX65;CHAMPION;0;;;;;
 T100S04;CHAMPION;0;;;;;
 WX51;CHAMPION;0;;;;;
 X26;CHAMPION;0;;;;;
 X29;CHAMPION;0;;;;;
 X38E;CHAMPION;0;;;;;
 X43;CHAMPION;0;;;;;
 X45;CHAMPION;0;;;;;
 X53E;CHAMPION;0;;;;;
 X53W;CHAMPION;0;;;;;
 X55W;CHAMPION;0;;;;;
 X60W;CHAMPION;0;;;;;
 X65;CHAMPION;0;;;;;
U506;CHAMPION;0;;;;;
U541;CHAMPION;0;;;;;
U566;CHAMPION;0;;;;;
 J316;CHAMPION;0;;;;;
 J315;CHAMPION;0;;;;;
 Y313;CHAMPION;0;;;;;
 Y314;CHAMPION;0;;;;;
Y307;CHAMPION;0;;;;;
 Y310;CHAMPION;0;;;;;
 U597;CHAMPION;0;;;;;
 J313;CHAMPION;0;;;;;
 V310;CHAMPION;0;;;;;
 V306;CHAMPION;0;;;;;
 V309;CHAMPION;0;;;;;
 V305;CHAMPION;0;;;;;
 C157;CHAMPION;0;;;;;
 X316;CHAMPION;0;;;;;
 X317;CHAMPION;0;;;;;
 C302;CHAMPION;0;;;;;
 F108;CHAMPION;0;;;;;
 H301;CHAMPION;0;;;;;
 C151;CHAMPION;0;;;;;
 X314;CHAMPION;0;;;;;
 X318;CHAMPION;0;;;;;
 C301;CHAMPION;0;;;;;
 C131;CHAMPION;0;;;;;
 F114;CHAMPION;0;;;;;
 F121;CHAMPION;0;;;;;
 Ñ125;CHAMPION;0;;;;;
 C303;CHAMPION;0;;;;;
 X308;CHAMPION;0;;;;;
 X319;CHAMPION;0;;;;;
 L138;CHAMPION;0;;;;;
 L202;CHAMPION;0;;;;;
 L228;CHAMPION;0;;;;;
 L104;CHAMPION;0;;;;;
 L102;CHAMPION;0;;;;;
 L221;CHAMPION;0;;;;;
CH60;CHAMPION;0;;;;;
CH68 ;CHAMPION;0;;;;;
CH77;CHAMPION;0;;;;;
CH87;CHAMPION;0;;;;;
CH95;CHAMPION;0;;;;;
