Артикул;Наименование;Группа;Статистика;Кол-во;Цена;Питер-5;Е;%
210933709613010;Переключатель стеклоподъёмника;General Motors;;3;11,57;49,4;43,25;273,88 
96948583;Переключатель указателя поворота Спарк М300;General Motors;;2;231,49;475;415,93;79,68 
130143;Петля двери Корса D;General Motors;;1;146,42;;;
130140;Петля двери Корса D;General Motors;;1;143,78;;;
95040624;Петля замка двери Авео 2007-2008;General Motors;;1;25,00;43,7;38,26;53,02 
95971947;Петля крышки багажника лев., а/м Круз;General Motors;;1;0,24;1242,6;1094,22;460467,15 
212308212330000;Пистон крепления бокового молдинга;General Motors;3617;1302;0,18;1,9;1,66;807,41 
1400877;Планка опорная противотуманной фары;General Motors;;2;120,78;;;
1400876;Планка опорная противотуманной фары;General Motors;;1;129,39;1129,55;989,09;664,45 
4803740;Пластина ограничителя столконвения прижимистая;General Motors;;2;2,20;;;
1273391;Поводок стеклоочистителя;General Motors;;1;181,98;1561,8;1375,3;655,75 
5308055;Поворотный кулак левый CORSA D;General Motors;;1;2 363,22;8511,05;7642,82;223,41 
13275250;Подрулевой переключатель управления радио;General Motors;;1;1 274,56;1311,95;1155,29;-9,36 
4806308;Подшипник амортизатора;General Motors;;2;260,87;796,1;697,11;167,22 
210701701190010;Подшипник вторичного вала КП;General Motors;;5;37,67;248,9;217,95;478,53 
720556;Подшипник игольчатый КПП;General Motors;;1;75,28;;;
371115;Подшипник коробки передач/2;General Motors;;1;717,20;;;
371114;Подшипник роликовый/2;General Motors;;1;717,20;;;
212103103020100;Подшипник спупицы передних колёс;General Motors;;2;67,64;315,4;276,18;308,33 
94535214;Подшипник ступицы задней 60мм, а/м Авео;General Motors;;2;416,14;1415,5;1246,47;199,53 
212302403069100;Полуось заднего моста в сборе (c ABS);General Motors;;2;876,22;4038,45;3577,01;308,23 
212302403069000;Полуось заднего моста в сборе (без ABS);General Motors;;2;893,13;4197,1;3717,53;316,23 
96878605;Поперечина радиатора, АВЕО;General Motors;;1;220,78;1309,1;1152,78;422,13 
7109768456;Предохранитель 10А мини;General Motors;;8;2,95;;;
19116043;Предохранитель 15 А микро;General Motors;;19;5,33;11,4;9,98;87,11 
930628;Предохранитель 2 А мини;General Motors;;90;2,50;;;
138810;Предохранитель 20А евро;General Motors;;38;2,09;;;
6401150035;Предохранитель 20А мини;General Motors;;3;2,85;;;
1238381;Предохранитель 25 А пенёк;General Motors;;6;16,90;217,55;190,49;1027,22 
768480;Предохранитель 25А мини;General Motors;;36;2,38;;;
138804;Предохранитель 3 А евро;General Motors;;25;3,14;;;
781754;Предохранитель 3 А мини;General Motors;;44;2,38;;;
768499;Предохранитель 30А мини;General Motors;;26;2,38;;;
49181;Предохранитель 5 А;General Motors;;38;1,78;;;
138806;Предохранитель 5 А евро;General Motors;;48;2,09;;;
1238380;Предохранитель 60 А пенёк;General Motors;;2;17,63;77,9;68,21;286,93 
6238065;Предохранитель 80 А макси;General Motors;;10;16,31;14,25;12,47;-23,55 
13386316;Привод колеса в сборе;General Motors;;1;3 604,74;18698,85;16836,7;367,07 
13334701;Привод колеса в сборе, а/м Круз;General Motors;;3;2 725,06;7910,65;7103,67;160,68 
212132215011200;Привод левого переднего колеса;General Motors;;2;475,48;3781;3348,98;604,34 
6207146;Привод лючка топливной горловины Астра Н (13208157);General Motors;;1;496,61;;;
212132215010200;Привод правого переднего колеса;General Motors;;1;503,95;3585,3;3175,64;530,15 
212301703010100;Привод управления механизма КП;General Motors;;1;341,48;;;
1340024;Приводной ремень ГРМ, 190 см;General Motors;;1;254,46;2355,05;2085,96;719,76 
95984199;Прикуриватель, а/м Круз;General Motors;;1;96,99;219,45;192,16;98,12 
1743357;Прикуриватель,комплект  Opel;General Motors;;3;285,52;908,2;795,27;178,53 
849674;Прокладка впускного коллектора (компл.) Вектра С;General Motors;;1;1 853,07;;;
852738;Прокладка выхлопной системы;General Motors;;1;87,77;;;
212301008081100;Прокладка газопровода;General Motors;;1;80,12;375,25;328,59;310,14 
607831;Прокладка головки блока цилиндров;General Motors;;2;284,80;;;
5849914;Прокладка головки блока цилиндров;General Motors;;1;129,93;;;
